id,name,description,category,created_at,updated_at
11,asynchronous,Aenean lectus. Pellentesque eget nunc.,Sports,2021-07-12T19:54:48Z,2023-11-19T05:55:56Z
12,Reverse-engineered,Praesent blandit.,Sports,2022-02-19T12:42:07Z,2024-06-30T16:31:54Z
13,Assimilated,Curabitur gravida nisi at nibh.,Cultural,2022-06-05T20:06:55Z,2024-05-01T07:30:42Z
14,Right-sized,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Sports,2022-11-01T11:39:41Z,2024-07-29T19:30:40Z
15,Customer-focused,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,Arts,2021-03-28T22:57:28Z,2024-07-14T05:42:02Z
16,paradigm,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",Sports,2021-07-14T05:28:20Z,2024-05-05T08:25:14Z
17,mission-critical,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Sports,2021-10-02T23:05:09Z,2023-11-06T02:10:12Z
18,global,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Academic,2022-12-24T06:04:35Z,2024-07-15T20:34:22Z
19,didactic,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Academic,2021-11-13T16:32:20Z,2024-06-04T15:51:50Z
20,Programmable,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",Academic,2022-04-20T15:25:15Z,2024-04-01T23:22:17Z
